2.176388 [mod=ETHAGENT, lvl=INFO] [tid=841] 
After daemonize before signal
2.176468 [mod=ETHAGENT, lvl=INFO] [tid=841] 
before cmd_dispatch command
2.176476 [mod=ETHAGENT, lvl=INFO] [tid=841] Connect to bus daemon...
2.176582 [mod=ETHAGENT, lvl=INFO] [tid=841] rbuscore.c:2340 RBus Enabled

2.176598 [mod=ETHAGENT, lvl=INFO] [tid=841] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.177212 [mod=ETHAGENT, lvl=INFO] [tid=841] connection opened for eRT.com.cisco.spvtg.ccsp.ethagent
2.177269 [mod=ETHAGENT, lvl=INFO] [tid=841] INFO: bus_handle: 0x0x93d76b0 
3.178223 [mod=ETHAGENT, lvl=INFO] [tid=841] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.178402 [mod=ETHAGENT, lvl=INFO] [tid=841] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.178497 [mod=ETHAGENT, lvl=WARN] [tid=841] Register empty object : com.
3.178505 [mod=ETHAGENT, lvl=WARN] [tid=841] Register empty object : com.cisco.
3.178513 [mod=ETHAGENT, lvl=WARN] [tid=841] Register empty object : com.cisco.spvtg.
3.178543 [mod=ETHAGENT, lvl=WARN] [tid=841] Register empty object : com.cisco.spvtg.ccsp.
3.178654 [mod=ETHAGENT, lvl=WARN] [tid=841] DM Library module name = CCSP Base Data Model
3.841198 [mod=ETHAGENT, lvl=WARN] [tid=841] CosaEthernetInitialize Ethernet_Logger_Thread Created
3.844887 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to dynamically get dmsb.ethagent.ethifcount. using fallback hardcoded value instead
3.848450 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to get dmsb.ethagent.if.1.Name
3.849033 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to get dmsb.ethagent.if.2.Name
3.849342 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to get dmsb.ethagent.if.3.Name
3.849533 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to get dmsb.ethagent.if.4.Name
3.849842 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to dynamically get dmsb.ethagent.if.1.Name. using hardcoded fallback option
3.850094 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to dynamically get dmsb.ethagent.if.2.Name. using hardcoded fallback option
3.850319 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to dynamically get dmsb.ethagent.if.3.Name. using hardcoded fallback option
3.850548 [mod=ETHAGENT, lvl=ERROR] [tid=841] Failed to dynamically get dmsb.ethagent.if.4.Name. using hardcoded fallback option
3.850983 [mod=ETHAGENT, lvl=ERROR] [tid=841] CosaDmlEthSetPhyPathForWanManager:4601 ifname[eth0]
3.850990 [mod=ETHAGENT, lvl=ERROR] [tid=841] CosaDmlEthSetPhyPathForWanManager:4605 stGlobalInfo.Name[eth0]
3.851143 [mod=ETHAGENT, lvl=ERROR] [tid=841] GetParameterValues for param[0]=Device.X_RDK_WanManager.InterfaceNumberOfEntries failed with Error: 17
3.851151 [mod=ETHAGENT, lvl=ERROR] [tid=841] CosaDmlEthGetLowerLayersInstanceInOtherAgent 4414 Failed to get param value
3.851158 [mod=ETHAGENT, lvl=ERROR] [tid=841] CosaDmlEthSetPhyPathForWanManager 4613 WAN instance not present
3.851162 [mod=ETHAGENT, lvl=INFO] [tid=841] CosaDmlEthInit:2745 Initialize eth0 PhyPath for Manager[Failed]
3.851185 [mod=ETHAGENT, lvl=INFO] [tid=841] CosaDmlEthTriggerEventHandlerThread 3940 - Event Handler Thread Started Successfully
3.851665 [mod=ETHAGENT, lvl=WARN] [tid=841] RDKB_SYSTEM_BOOT_UP_LOG : Entering CosaBackEndManagerCreate 128
3.851677 [mod=ETHAGENT, lvl=NOTICE] [tid=841] _getMac...
3.851685 [mod=ETHAGENT, lvl=NOTICE] [tid=841] _getMac...
3.852268 [mod=ETHAGENT, lvl=INFO] [tid=841]  lan-status = stopped
3.852283 [mod=ETHAGENT, lvl=NOTICE] [tid=841] _getMac...
3.852291 [mod=ETHAGENT, lvl=NOTICE] [tid=841] _getMac...
3.852303 [mod=ETHAGENT, lvl=NOTICE] [tid=841] _getMac...
