2.120350 [mod=WIFI, lvl=WARN] [tid=802] 
Subsystem is eRT.
2.120380 [mod=WIFI, lvl=INFO] [tid=802] NonRoot feature is enabled, dropping root privileges for CcspWiFiAgent process
2.120800 [mod=WIFI, lvl=ERROR] [tid=802] drop_root function failed!
2.121071 [mod=WIFI, lvl=WARN] [tid=817] Core dump is opened, do not catch signal
2.121124 [mod=WIFI, lvl=INFO] [tid=817] Connect to bus daemon...
2.121155 [mod=WIFI, lvl=INFO] [tid=817] rbuscore.c:2340 RBus Enabled

2.121170 [mod=WIFI, lvl=INFO] [tid=817] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.121433 [mod=WIFI, lvl=INFO] [tid=817] connection opened for eRT.com.cisco.spvtg.ccsp.wifi
2.121456 [mod=WIFI, lvl=INFO] [tid=817] rbuscore.c:939 Registering method table for object eRT.com.cisco.spvtg.ccsp.wifi

2.121479 [mod=WIFI, lvl=INFO] [tid=817] eRT.com.cisco.spvtg.ccsp.wifi start to check eRT.com.cisco.spvtg.ccsp.psm status
2.121616 [mod=WIFI, lvl=INFO] [tid=817] eRT.com.cisco.spvtg.ccsp.psm is ready, eRT.com.cisco.spvtg.ccsp.wifi continue
2.121624 [mod=WIFI, lvl=INFO] [tid=817] !!! Connected to message bus... bus_handle: 0x0x8b1dd20 !!!
3.121731 [mod=WIFI, lvl=INFO] [tid=817] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.121914 [mod=WIFI, lvl=INFO] [tid=817] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.122005 [mod=WIFI, lvl=WARN] [tid=817] Register empty object : com.
3.122017 [mod=WIFI, lvl=WARN] [tid=817] Register empty object : com.cisco.
3.122025 [mod=WIFI, lvl=WARN] [tid=817] Register empty object : com.cisco.spvtg.
3.122036 [mod=WIFI, lvl=WARN] [tid=817] Register empty object : com.cisco.spvtg.ccsp.
3.122143 [mod=WIFI, lvl=WARN] [tid=817] DM Library module name = CCSP Base Data Model
3.122948 [mod=WIFI, lvl=WARN] [tid=817] DM Library module name = COSA_TR181_WiFi_USGv2
3.122959 [mod=WIFI, lvl=WARN] [tid=817] Loading DM library libwifi.so...
3.126453 [mod=WIFI, lvl=WARN] [tid=817]  RDKB_SYSTEM_BOOT_UP_LOG : CosaWifiInitialize - WiFi initialize. 
3.131985 [mod=WIFI, lvl=INFO] [tid=817] 241119-23:09:28.080937 [mod=WIFI, lvl=INFO] [tid=817] 241119-23:09:28.411048 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFiGetFactoryResetPsmData 
3.462894 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFiGetFactoryResetPsmData :Calling PSM GET to get FactoryReset flag value
3.463131 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFiGetFactoryResetPsmData :PSM GET Success eRT.com.cisco.spvtg.ccsp.tr181pa.Device.WiFi.FactoryReset = 0 
3.463142 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFiGetFactoryResetPsmData : Returning Success 
6.464203 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 0 returned enable 0
6.465603 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=0 enable=0
6.466015 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit For radioIndex:0 wifi_setRadioOperatingParameters returned Success
6.467350 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 1 returned enable 0
6.468201 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=1 enable=0
6.468643 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit For radioIndex:1 wifi_setRadioOperatingParameters returned Success
6.469734 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 2 returned enable 0
6.470551 [mod=WIFI, lvl=INFO] [tid=817]  rdkWifiConfigInit For radioIndex:2 PSM values are already updated
6.471283 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFiGetResetHotSpotRequired : Returning Success 
6.471306 [mod=WIFI, lvl=ERROR] [tid=817] getPrivateApFromRadioIndex not recognised for radioIndex 0!!!
