2.114826 [mod=ETHAGENT, lvl=INFO] [tid=761] 
After daemonize before signal
2.114933 [mod=ETHAGENT, lvl=INFO] [tid=761] 
before cmd_dispatch command
2.114941 [mod=ETHAGENT, lvl=INFO] [tid=761] Connect to bus daemon...
2.114964 [mod=ETHAGENT, lvl=INFO] [tid=761] rbuscore.c:2340 RBus Enabled

2.114975 [mod=ETHAGENT, lvl=INFO] [tid=761] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.115509 [mod=ETHAGENT, lvl=INFO] [tid=761] connection opened for eRT.com.cisco.spvtg.ccsp.ethagent
2.115566 [mod=ETHAGENT, lvl=INFO] [tid=761] INFO: bus_handle: 0x0x8a556b0 
3.117359 [mod=ETHAGENT, lvl=INFO] [tid=761] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.118477 [mod=ETHAGENT, lvl=INFO] [tid=761] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.118584 [mod=ETHAGENT, lvl=WARN] [tid=761] Register empty object : com.
3.118595 [mod=ETHAGENT, lvl=WARN] [tid=761] Register empty object : com.cisco.
3.118603 [mod=ETHAGENT, lvl=WARN] [tid=761] Register empty object : com.cisco.spvtg.
3.118610 [mod=ETHAGENT, lvl=WARN] [tid=761] Register empty object : com.cisco.spvtg.ccsp.
3.118725 [mod=ETHAGENT, lvl=WARN] [tid=761] DM Library module name = CCSP Base Data Model
3.118942 [mod=ETHAGENT, lvl=WARN] [tid=761] CosaEthernetInitialize Ethernet_Logger_Thread Created
3.120739 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to dynamically get dmsb.ethagent.ethifcount. using fallback hardcoded value instead
3.121105 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to get dmsb.ethagent.if.1.Name
3.121384 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to get dmsb.ethagent.if.2.Name
3.121586 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to get dmsb.ethagent.if.3.Name
3.121853 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to get dmsb.ethagent.if.4.Name
3.122360 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to dynamically get dmsb.ethagent.if.1.Name. using hardcoded fallback option
3.122669 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to dynamically get dmsb.ethagent.if.2.Name. using hardcoded fallback option
3.122940 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to dynamically get dmsb.ethagent.if.3.Name. using hardcoded fallback option
3.123489 [mod=ETHAGENT, lvl=ERROR] [tid=761] Failed to dynamically get dmsb.ethagent.if.4.Name. using hardcoded fallback option
3.124100 [mod=ETHAGENT, lvl=ERROR] [tid=761] CosaDmlEthSetPhyPathForWanManager:4601 ifname[eth0]
3.124107 [mod=ETHAGENT, lvl=ERROR] [tid=761] CosaDmlEthSetPhyPathForWanManager:4605 stGlobalInfo.Name[eth0]
3.124649 [mod=ETHAGENT, lvl=ERROR] [tid=761] GetParameterValues for param[0]=Device.X_RDK_WanManager.InterfaceNumberOfEntries failed with Error: 17
3.124676 [mod=ETHAGENT, lvl=ERROR] [tid=761] CosaDmlEthGetLowerLayersInstanceInOtherAgent 4414 Failed to get param value
3.124683 [mod=ETHAGENT, lvl=ERROR] [tid=761] CosaDmlEthSetPhyPathForWanManager 4613 WAN instance not present
3.124687 [mod=ETHAGENT, lvl=INFO] [tid=761] CosaDmlEthInit:2745 Initialize eth0 PhyPath for Manager[Failed]
3.124737 [mod=ETHAGENT, lvl=INFO] [tid=761] CosaDmlEthTriggerEventHandlerThread 3940 - Event Handler Thread Started Successfully
3.125393 [mod=ETHAGENT, lvl=WARN] [tid=761] RDKB_SYSTEM_BOOT_UP_LOG : Entering CosaBackEndManagerCreate 128
3.125408 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125416 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125652 [mod=ETHAGENT, lvl=INFO] [tid=761]  lan-status = started
3.125668 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125679 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125690 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125698 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125858 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.125866 [mod=ETHAGENT, lvl=NOTICE] [tid=761] _getMac...
3.455257 [mod=ETHAGENT, lvl=NOTICE] [tid=761] getIfStatus...
3.455273 [mod=ETHAGENT, lvl=NOTICE] [tid=761] getIfStatus...
3.455502 [mod=ETHAGENT, lvl=NOTICE] [tid=761] getIfStatus...
3.455517 [mod=ETHAGENT, lvl=NOTICE] [tid=761] getIfStatus...
3.455647 [mod=ETHAGENT, lvl=WARN] [tid=761]   CosaEthInterfaceCreate done!
3.455734 [mod=ETHAGENT, lvl=DEBUG] [tid=761] 'unsignedInt[1:7]' UINT range [1:7]
3.455833 [mod=ETHAGENT, lvl=WARN] [tid=761] DM Library module name = CcspEthAgent
3.455948 [mod=ETHAGENT, lvl=DEBUG] [tid=761] 'int[-1:]' Integer range [-1:2147483647]
3.460197 [mod=ETHAGENT, lvl=WARN] [tid=761] Search for empty object in 'dslhCpeCheckEmptyObject'
3.486652 [mod=ETHAGENT, lvl=WARN] [tid=761] 
Before Cdm_Init
3.486721 [mod=ETHAGENT, lvl=WARN] [tid=761] 
After Cdm_Init
4.138531 [mod=ETHAGENT, lvl=INFO] [tid=1353] [EthWanLinkUp_callback][4887] WANOE [eth0] interface link up event received 
4.138557 [mod=ETHAGENT, lvl=INFO] [tid=1353] CosaDmlEthPortSendLinkStatusToEventQueue 3920 - Successfully sent message to event queue
4.138565 [mod=ETHAGENT, lvl=INFO] [tid=1353] [EthWanLinkUp_callback][4889] Successfully posted WANOE [eth0] interface link up event to message queue
