2.094944 [mod=WIFI, lvl=WARN] [tid=724] 
Subsystem is eRT.
2.094978 [mod=WIFI, lvl=INFO] [tid=724] NonRoot feature is enabled, dropping root privileges for CcspWiFiAgent process
2.095852 [mod=WIFI, lvl=ERROR] [tid=724] drop_root function failed!
2.099236 [mod=WIFI, lvl=WARN] [tid=733] Core dump is opened, do not catch signal
2.099270 [mod=WIFI, lvl=INFO] [tid=733] Connect to bus daemon...
2.099304 [mod=WIFI, lvl=INFO] [tid=733] rbuscore.c:2340 RBus Enabled

2.099346 [mod=WIFI, lvl=INFO] [tid=733] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.099659 [mod=WIFI, lvl=INFO] [tid=733] connection opened for eRT.com.cisco.spvtg.ccsp.wifi
2.099682 [mod=WIFI, lvl=INFO] [tid=733] rbuscore.c:939 Registering method table for object eRT.com.cisco.spvtg.ccsp.wifi

2.099697 [mod=WIFI, lvl=INFO] [tid=733] eRT.com.cisco.spvtg.ccsp.wifi start to check eRT.com.cisco.spvtg.ccsp.psm status
2.099949 [mod=WIFI, lvl=INFO] [tid=733] eRT.com.cisco.spvtg.ccsp.psm is ready, eRT.com.cisco.spvtg.ccsp.wifi continue
2.099957 [mod=WIFI, lvl=INFO] [tid=733] !!! Connected to message bus... bus_handle: 0x0x84c8d20 !!!
3.100731 [mod=WIFI, lvl=INFO] [tid=733] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.100994 [mod=WIFI, lvl=INFO] [tid=733] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.101086 [mod=WIFI, lvl=WARN] [tid=733] Register empty object : com.
3.101097 [mod=WIFI, lvl=WARN] [tid=733] Register empty object : com.cisco.
3.101105 [mod=WIFI, lvl=WARN] [tid=733] Register empty object : com.cisco.spvtg.
3.101116 [mod=WIFI, lvl=WARN] [tid=733] Register empty object : com.cisco.spvtg.ccsp.
3.101227 [mod=WIFI, lvl=WARN] [tid=733] DM Library module name = CCSP Base Data Model
3.102646 [mod=WIFI, lvl=WARN] [tid=733] DM Library module name = COSA_TR181_WiFi_USGv2
3.102657 [mod=WIFI, lvl=WARN] [tid=733] Loading DM library libwifi.so...
3.106888 [mod=WIFI, lvl=WARN] [tid=733]  RDKB_SYSTEM_BOOT_UP_LOG : CosaWifiInitialize - WiFi initialize. 
3.114265 [mod=WIFI, lvl=INFO] [tid=733] 241119-23:09:21.031211 [mod=WIFI, lvl=INFO] [tid=733] 241119-23:09:21.121888 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetFactoryResetPsmData 
3.205658 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetFactoryResetPsmData :Calling PSM GET to get FactoryReset flag value
3.207222 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetFactoryResetPsmData :PSM GET Success eRT.com.cisco.spvtg.ccsp.tr181pa.Device.WiFi.FactoryReset = 0 
3.207230 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetFactoryResetPsmData : Returning Success 
6.231216 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 0 returned enable 0
6.234875 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=0 enable=0
6.237366 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit For radioIndex:0 wifi_setRadioOperatingParameters returned Success
6.243248 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 1 returned enable 0
6.248055 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=1 enable=0
6.249855 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit For radioIndex:1 wifi_setRadioOperatingParameters returned Success
6.254307 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 2 returned enable 0
6.258465 [mod=WIFI, lvl=INFO] [tid=733]  rdkWifiConfigInit For radioIndex:2 PSM values are already updated
6.261463 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetResetHotSpotRequired : Returning Success 
6.261555 [mod=WIFI, lvl=ERROR] [tid=733] getPrivateApFromRadioIndex not recognised for radioIndex 0!!!
6.263100 [mod=WIFI, lvl=ERROR] [tid=733] getPrivateApFromRadioIndex not recognised for radioIndex 1!!!
6.264542 [mod=WIFI, lvl=ERROR] [tid=733] getPrivateApFromRadioIndex not recognised for radioIndex 2!!!
6.269955 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetResetRequired : Calling PSM GET for eRT.com.cisco.spvtg.ccsp.Device.WiFi.VlanCfgVerion 
6.270439 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetResetRequired : PSM GET Success eRT.com.cisco.spvtg.ccsp.Device.WiFi.VlanCfgVerion = 2
6.270466 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFiGetResetRequired : Returning Success 
6.297134 [mod=WIFI, lvl=INFO] [tid=733] 241119-23:09:24.214688 [mod=WIFI, lvl=INFO] [tid=733] 241119-23:09:24.253658 [mod=WIFI, lvl=INFO] [tid=733] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: WifiDbStatus
6.337460 [mod=WIFI, lvl=INFO] [tid=733] wifi_handle_sysevent_async...
6.337524 [mod=WIFI, lvl=INFO] [tid=1770] wifi_sysevent_handler_th created
6.337543 [mod=WIFI, lvl=INFO] [tid=1770] wifi_sysevent_init
6.338425 [mod=WIFI, lvl=INFO] [tid=1770] wifi_sysevent_init - Exit
6.338440 [mod=WIFI, lvl=INFO] [tid=1770] wifi_check_sysevent_status
6.338688 [mod=WIFI, lvl=INFO] [tid=1770] wifi_sysvent_listener created
