2.136387 [mod=ETHAGENT, lvl=INFO] [tid=740] 
After daemonize before signal
2.136456 [mod=ETHAGENT, lvl=WARN] [tid=740] Core dump is opened, do not catch signal
2.136463 [mod=ETHAGENT, lvl=INFO] [tid=740] 
before cmd_dispatch command
2.136467 [mod=ETHAGENT, lvl=INFO] [tid=740] Connect to bus daemon...
2.136490 [mod=ETHAGENT, lvl=INFO] [tid=740] rbuscore.c:2340 RBus Enabled

2.136501 [mod=ETHAGENT, lvl=INFO] [tid=740] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.136707 [mod=ETHAGENT, lvl=INFO] [tid=740] connection opened for eRT.com.cisco.spvtg.ccsp.ethagent
2.136765 [mod=ETHAGENT, lvl=INFO] [tid=740] INFO: bus_handle: 0x0x8da7d90 
3.137833 [mod=ETHAGENT, lvl=INFO] [tid=740] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.138260 [mod=ETHAGENT, lvl=INFO] [tid=740] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.138344 [mod=ETHAGENT, lvl=WARN] [tid=740] Register empty object : com.
3.138355 [mod=ETHAGENT, lvl=WARN] [tid=740] Register empty object : com.cisco.
3.138363 [mod=ETHAGENT, lvl=WARN] [tid=740] Register empty object : com.cisco.spvtg.
3.138371 [mod=ETHAGENT, lvl=WARN] [tid=740] Register empty object : com.cisco.spvtg.ccsp.
3.138477 [mod=ETHAGENT, lvl=WARN] [tid=740] DM Library module name = CCSP Base Data Model
3.138683 [mod=ETHAGENT, lvl=WARN] [tid=740] CosaEthernetInitialize Ethernet_Logger_Thread Created
3.140335 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to dynamically get dmsb.ethagent.ethifcount. using fallback hardcoded value instead
3.140701 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to get dmsb.ethagent.if.1.Name
3.141026 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to get dmsb.ethagent.if.2.Name
3.141384 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to get dmsb.ethagent.if.3.Name
3.141705 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to get dmsb.ethagent.if.4.Name
3.142166 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to dynamically get dmsb.ethagent.if.1.Name. using hardcoded fallback option
3.142464 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to dynamically get dmsb.ethagent.if.2.Name. using hardcoded fallback option
3.142780 [mod=ETHAGENT, lvl=ERROR] [tid=740] Failed to dynamically get dmsb.ethagent.if.3.Name. using hardcoded fallback option
