2.095039 [mod=WIFI, lvl=WARN] [tid=720] 
Subsystem is eRT.
2.103767 [mod=WIFI, lvl=WARN] [tid=728] Core dump is opened, do not catch signal
2.103798 [mod=WIFI, lvl=INFO] [tid=728] Connect to bus daemon...
2.103825 [mod=WIFI, lvl=INFO] [tid=728] rbuscore.c:2340 RBus Enabled

2.103836 [mod=WIFI, lvl=INFO] [tid=728] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.103973 [mod=WIFI, lvl=INFO] [tid=728] connection opened for eRT.com.cisco.spvtg.ccsp.wifi
2.103996 [mod=WIFI, lvl=INFO] [tid=728] rbuscore.c:939 Registering method table for object eRT.com.cisco.spvtg.ccsp.wifi

2.104008 [mod=WIFI, lvl=INFO] [tid=728] eRT.com.cisco.spvtg.ccsp.wifi start to check eRT.com.cisco.spvtg.ccsp.psm status
2.104145 [mod=WIFI, lvl=INFO] [tid=728] eRT.com.cisco.spvtg.ccsp.psm is ready, eRT.com.cisco.spvtg.ccsp.wifi continue
2.104153 [mod=WIFI, lvl=INFO] [tid=728] !!! Connected to message bus... bus_handle: 0x0x9e7c610 !!!
3.104298 [mod=WIFI, lvl=INFO] [tid=728] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.104565 [mod=WIFI, lvl=INFO] [tid=728] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.104660 [mod=WIFI, lvl=WARN] [tid=728] Register empty object : com.
3.104671 [mod=WIFI, lvl=WARN] [tid=728] Register empty object : com.cisco.
3.104679 [mod=WIFI, lvl=WARN] [tid=728] Register empty object : com.cisco.spvtg.
3.104687 [mod=WIFI, lvl=WARN] [tid=728] Register empty object : com.cisco.spvtg.ccsp.
3.104797 [mod=WIFI, lvl=WARN] [tid=728] DM Library module name = CCSP Base Data Model
3.105595 [mod=WIFI, lvl=WARN] [tid=728] DM Library module name = COSA_TR181_WiFi_USGv2
3.105606 [mod=WIFI, lvl=WARN] [tid=728] Loading DM library libwifi.so...
3.110439 [mod=WIFI, lvl=WARN] [tid=728]  RDKB_SYSTEM_BOOT_UP_LOG : CosaWifiInitialize - WiFi initialize. 
3.235909 [mod=WIFI, lvl=INFO] [tid=728] WIFI m_wifi_init : Notify Mesh of wifi_init
3.236698 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFiGetFactoryResetPsmData 
3.236710 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFiGetFactoryResetPsmData :Calling PSM GET to get FactoryReset flag value
3.240036 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFiGetFactoryResetPsmData :PSM GET Success eRT.com.cisco.spvtg.ccsp.tr181pa.Device.WiFi.FactoryReset = 0 
3.240044 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFiGetFactoryResetPsmData : Returning Success 
6.243977 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 0 returned enable 0
6.250465 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=0 enable=0
6.252243 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit For radioIndex:0 wifi_setRadioOperatingParameters returned Success
6.258179 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 1 returned enable 0
6.264004 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=1 enable=0
6.265774 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit For radioIndex:1 wifi_setRadioOperatingParameters returned Success
6.270576 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 2 returned enable 0
6.276047 [mod=WIFI, lvl=INFO] [tid=728]  rdkWifiConfigInit For radioIndex:2 PSM values are already updated
