2.107765 [mod=WIFI, lvl=WARN] [tid=688] 
Subsystem is eRT.
2.119102 [mod=WIFI, lvl=WARN] [tid=695] Core dump is opened, do not catch signal
2.119133 [mod=WIFI, lvl=INFO] [tid=695] Connect to bus daemon...
2.119179 [mod=WIFI, lvl=INFO] [tid=695] rbuscore.c:2340 RBus Enabled

2.119190 [mod=WIFI, lvl=INFO] [tid=695] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.119343 [mod=WIFI, lvl=INFO] [tid=695] connection opened for eRT.com.cisco.spvtg.ccsp.wifi
2.119366 [mod=WIFI, lvl=INFO] [tid=695] rbuscore.c:939 Registering method table for object eRT.com.cisco.spvtg.ccsp.wifi

2.119373 [mod=WIFI, lvl=INFO] [tid=695] eRT.com.cisco.spvtg.ccsp.wifi start to check eRT.com.cisco.spvtg.ccsp.psm status
2.119678 [mod=WIFI, lvl=INFO] [tid=695] eRT.com.cisco.spvtg.ccsp.psm is ready, eRT.com.cisco.spvtg.ccsp.wifi continue
2.119686 [mod=WIFI, lvl=INFO] [tid=695] !!! Connected to message bus... bus_handle: 0x0x96a9610 !!!
3.120743 [mod=WIFI, lvl=INFO] [tid=695] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.121162 [mod=WIFI, lvl=INFO] [tid=695] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.121250 [mod=WIFI, lvl=WARN] [tid=695] Register empty object : com.
3.121262 [mod=WIFI, lvl=WARN] [tid=695] Register empty object : com.cisco.
3.121269 [mod=WIFI, lvl=WARN] [tid=695] Register empty object : com.cisco.spvtg.
3.121277 [mod=WIFI, lvl=WARN] [tid=695] Register empty object : com.cisco.spvtg.ccsp.
3.121391 [mod=WIFI, lvl=WARN] [tid=695] DM Library module name = CCSP Base Data Model
3.131527 [mod=WIFI, lvl=WARN] [tid=695] DM Library module name = COSA_TR181_WiFi_USGv2
3.131542 [mod=WIFI, lvl=WARN] [tid=695] Loading DM library libwifi.so...
3.135265 [mod=WIFI, lvl=WARN] [tid=695]  RDKB_SYSTEM_BOOT_UP_LOG : CosaWifiInitialize - WiFi initialize. 
3.243835 [mod=WIFI, lvl=INFO] [tid=695] WIFI m_wifi_init : Notify Mesh of wifi_init
3.244598 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFiGetFactoryResetPsmData 
3.244610 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFiGetFactoryResetPsmData :Calling PSM GET to get FactoryReset flag value
3.245934 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFiGetFactoryResetPsmData :PSM GET Success eRT.com.cisco.spvtg.ccsp.tr181pa.Device.WiFi.FactoryReset = 0 
3.245998 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFiGetFactoryResetPsmData : Returning Success 
6.247074 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 0 returned enable 0
6.247971 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=0 enable=0
6.248379 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit For radioIndex:0 wifi_setRadioOperatingParameters returned Success
6.249695 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 1 returned enable 0
6.250546 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=1 enable=0
6.250938 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit For radioIndex:1 wifi_setRadioOperatingParameters returned Success
6.252010 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 2 returned enable 0
6.252838 [mod=WIFI, lvl=INFO] [tid=695]  rdkWifiConfigInit For radioIndex:2 PSM values are already updated
6.253593 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFiGetResetHotSpotRequired : Returning Success 
6.253613 [mod=WIFI, lvl=ERROR] [tid=695] getPrivateApFromRadioIndex not recognised for radioIndex 0!!!
6.253994 [mod=WIFI, lvl=ERROR] [tid=695] getPrivateApFromRadioIndex not recognised for radioIndex 1!!!
6.254356 [mod=WIFI, lvl=ERROR] [tid=695] getPrivateApFromRadioIndex not recognised for radioIndex 2!!!
